Curvature,Luas,Kepadatan,Bin Tertinggi,Posisi Bin Tertinggi,Label
4.391214,909.250549,0.033781,21.147797,63.000000,Normal
4.277179,880.135681,0.033498,21.775940,60.000000,Normal
3.511412,884.782471,0.038596,21.761597,90.000000,Normal
4.387007,868.235352,0.030514,21.156162,63.000000,Normal
4.578073,901.294922,0.032254,21.776794,96.000000,Normal
3.754097,886.511353,0.037137,20.921257,96.000000,Normal
5.221734,906.861633,0.023694,22.076233,90.000000,Normal
3.655661,916.459106,0.052339,20.355350,72.000000,Normal
5.431927,864.541138,0.021968,21.590700,66.000000,Normal
5.537110,860.096008,0.023996,21.280455,114.000000,Normal
4.609166,919.322205,0.032143,22.034603,123.000000,Normal
5.672138,706.824463,0.013496,22.061762,87.000000,Normal
5.536139,711.147644,0.014144,22.158875,87.000000,Normal
5.369665,718.268372,0.014426,21.816647,87.000000,Normal
5.428466,717.595398,0.014486,21.440327,87.000000,Normal
3.753555,861.699036,0.039860,21.139217,63.000000,Normal
5.637676,718.478577,0.013586,21.563965,87.000000,Normal
5.177902,742.099487,0.017384,21.115112,87.000000,Normal
5.261686,755.907715,0.016117,21.411072,87.000000,Normal
5.745902,750.282532,0.018085,19.484995,30.000000,Normal
5.848244,756.474365,0.017518,19.967766,6.000000,Normal
5.743387,753.091309,0.017714,19.192509,6.000000,Normal
5.913075,745.358154,0.017279,19.171391,6.000000,Normal
5.938725,759.435364,0.016903,20.738049,30.000000,Normal
6.020141,772.334290,0.015587,21.325285,30.000000,Normal
5.811451,760.838440,0.017620,20.280796,54.000000,Normal
4.331322,859.610229,0.030339,20.362549,114.000000,Normal
5.922322,751.859192,0.017639,21.222248,54.000000,Normal
5.218602,886.810913,0.022875,22.307970,66.000000,Normal
4.450432,891.472839,0.032514,21.930029,66.000000,Normal
4.948191,872.770020,0.028709,20.228947,66.000000,Normal
5.400910,853.045288,0.021274,21.866430,87.000000,Normal
4.657874,930.745972,0.034687,22.119179,66.000000,Normal
3.839540,887.345459,0.035839,22.486792,90.000000,Normal
4.418165,874.498657,0.030536,22.346090,87.000000,Normal
4.928933,734.237671,0.020845,21.629065,57.000000,Normal
4.455243,950.282349,0.031033,22.924822,66.000000,Normal
4.858529,855.816162,0.027110,21.497099,66.000000,Normal
4.785192,896.637390,0.027680,21.556385,90.000000,Normal
4.963820,877.646973,0.027055,22.111877,111.000000,Normal
