Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Bin 18,Bin 19,Bin 20,Bin 21,Bin 22,Bin 23,Bin 24,Bin 25,Bin 26,Bin 27,Bin 28,Bin 29,Bin 30,Bin 31,Bin 32,Bin 33,Bin 34,Bin 35,Bin 36,Bin 37,Bin 38,Bin 39,Bin 40,Bin 41,Bin 42,Bin 43,Bin 44,Bin 45,Bin 46,Bin 47,Bin 48,Bin 49,Bin 50,Bin 51,Bin 52,Bin 53,Bin 54,Bin 55,Bin 56,Bin 57,Bin 58,Bin 59,Bin 60,Label
2.262292,14.992298,14.038925,10.794049,8.127895,0.274659,0.000000,0.000000,3.545318,18.758352,20.075220,9.508632,10.692233,8.460144,8.776806,7.467925,6.624670,12.565289,20.059341,11.608119,16.154764,17.019157,8.909560,7.917086,10.655390,9.430282,17.710857,13.137817,16.342215,20.225924,17.659191,17.823202,14.598150,9.201773,15.282263,17.351116,14.043500,18.849480,19.958059,18.676100,17.849056,14.413454,8.886774,16.630604,15.297586,12.978310,15.105425,14.018974,10.238365,12.540996,14.972641,10.240273,12.332773,10.392151,15.045868,14.071005,12.338467,10.613043,13.061659,10.442530,Flat
0.000000,10.652164,17.275373,11.527645,8.500137,5.850803,6.210018,4.710097,2.500944,10.096722,21.806950,12.493115,10.401055,9.674723,10.485767,11.434504,8.213982,7.363783,19.865072,14.637519,17.195990,18.347891,13.440272,9.186752,11.429087,6.568307,13.189013,17.603931,16.459478,18.976021,18.415405,19.260870,15.898661,10.037928,5.673502,18.223394,15.522207,16.433466,17.997911,16.392559,17.356480,12.468263,7.599890,12.990180,14.999452,13.763879,13.041894,10.658660,7.749631,11.137195,14.260155,5.209093,12.615524,11.367525,12.648537,10.810216,9.115290,9.507618,8.428766,3.765608,Flat
0.000000,2.095524,13.317392,10.509898,7.163513,0.059004,0.000000,0.000000,0.000000,2.492323,18.156382,15.451283,10.199040,7.928387,8.885360,1.732050,0.000000,1.089636,15.175529,18.740892,13.919910,15.236630,9.005650,10.421066,9.798703,5.079096,7.464658,19.855503,15.302246,19.637325,18.747046,13.954206,10.272449,9.381969,3.493391,16.723862,15.989471,15.145454,18.221994,19.471380,17.826460,15.631981,6.884266,7.511682,16.163811,12.187681,19.992403,16.471266,15.833022,15.905490,13.479842,2.767121,11.792492,9.899443,11.039238,12.195713,10.314337,8.582277,11.698782,11.240504,Flat
0.000000,2.066319,13.044755,10.408583,7.494888,0.007578,0.000000,0.000000,0.000000,2.178460,17.670923,15.681759,10.653623,8.050189,7.988114,1.414213,0.000000,0.929183,15.058024,18.619556,14.093767,14.658699,9.101345,10.464346,9.938883,4.696376,7.221378,19.369089,14.799839,19.602470,19.448620,12.482449,10.356393,9.010424,3.410967,16.483427,15.781983,15.979939,18.601389,19.829071,17.525831,15.149579,7.104666,7.575964,15.141282,12.110706,20.006268,17.382784,15.248539,15.071475,13.499061,2.748942,12.481531,9.818689,11.082003,11.495575,10.377002,8.613400,11.436326,11.387473,Flat
5.332100,18.569012,14.698700,9.270450,10.651644,9.848230,10.590568,10.709395,8.546806,21.185514,16.536501,14.027025,20.758053,20.672440,21.242796,16.754940,13.233059,18.360336,18.102266,14.375998,19.783428,22.272762,21.162018,20.943134,21.272322,14.870972,17.921507,14.410823,18.378910,21.831303,20.977617,18.658787,15.510372,15.599217,16.661911,14.217514,18.697863,19.486319,15.099651,12.250081,11.097053,10.459548,14.192025,14.812442,16.949432,17.707191,12.831064,12.961728,10.852423,8.772045,7.675515,8.389455,14.495815,10.254076,14.271052,9.171934,3.233734,0.000000,0.000000,0.000000,Flat
2.420926,19.078848,12.907076,9.687805,10.658967,10.033941,10.548581,10.526869,3.955595,18.989416,18.068783,14.322574,18.829515,17.478045,10.754508,10.477965,10.978861,11.613481,20.164349,13.249678,17.458002,17.818533,18.913086,16.691223,12.060102,11.865390,17.518534,13.009323,18.617464,18.034866,16.939283,16.514645,15.258642,12.681133,14.037677,14.989853,13.987215,19.527653,13.034891,11.484701,9.845425,13.064951,8.141011,15.360802,12.698874,10.738571,13.982759,11.820385,11.840476,11.018286,4.893384,12.685908,12.881748,13.623962,9.395644,5.897472,4.473919,0.000000,0.000000,3.649711,Flat
3.383570,19.450336,11.877813,10.791168,9.961330,10.522621,10.234662,10.160719,4.516386,19.146519,17.907753,16.252014,19.939302,19.439766,18.296312,12.721296,10.493253,12.287046,20.280891,13.595629,18.207760,18.057375,19.305830,17.397186,12.041749,10.810596,17.403568,12.922285,20.219015,18.133837,18.076843,16.103081,14.123736,13.102312,14.485149,13.748600,16.166546,15.539859,11.639200,11.327839,9.881821,13.454779,8.313060,15.055569,12.516930,15.000222,14.864217,9.540659,10.791230,10.280643,5.069759,12.833160,12.605997,13.563047,9.499619,2.562665,0.000000,0.000000,0.000000,3.682135,Flat
3.745065,19.053995,11.820120,11.495670,9.810825,10.086024,10.344675,9.861494,4.492768,17.985966,17.862112,16.365860,19.713448,18.635559,17.911106,12.416698,10.961191,12.276740,20.165596,13.157011,17.876102,17.326094,18.965431,17.168474,11.992980,10.355442,18.265129,13.122644,19.429752,17.379906,17.080017,14.984797,13.938633,12.540700,14.628860,13.906349,14.675807,12.537175,10.704091,11.593349,10.261707,12.350700,7.919975,14.222164,13.124866,14.086985,12.672860,8.424891,10.125226,8.783442,4.353426,12.479564,13.857321,12.979524,8.580007,2.688401,0.000000,0.000000,0.000000,3.694836,Flat
0.000000,14.188915,16.436562,9.222798,10.312675,7.730499,8.211737,7.269469,3.162761,12.500900,19.131218,13.493769,16.182259,10.830002,9.692526,9.607877,10.894581,9.164579,18.957619,14.034040,17.671965,19.828144,19.701782,11.651028,11.571743,10.516703,16.134342,17.466467,16.468281,20.324160,20.151726,18.390301,16.039289,13.196128,10.632728,18.145063,13.521181,15.295715,18.471064,15.045669,15.233263,13.359344,12.193248,13.988316,14.770763,10.770669,16.189688,14.949552,12.151323,10.722943,13.181226,7.374006,13.172686,12.000644,14.957920,12.997769,10.594872,9.442439,6.115845,5.154696,Flat
0.002996,12.644344,15.996460,10.447672,9.213781,7.189025,5.794954,6.268310,3.100726,9.487906,20.677540,14.695398,11.948606,10.263086,9.880490,10.225677,10.854422,8.305379,19.866730,13.687986,17.662712,18.865376,17.694662,9.865275,11.222305,10.855920,16.161495,16.973421,16.474586,19.706066,18.725353,18.324787,16.342720,13.596092,11.351288,18.998461,14.525091,16.041494,19.151909,16.279711,15.451653,13.671488,12.166441,13.919190,15.454394,12.848924,15.087528,14.986967,12.068930,9.380304,13.406303,7.782155,15.956882,10.581152,13.437740,13.591284,11.353072,8.441529,6.397880,6.044564,Flat
0.101598,15.108852,15.649429,9.903158,9.534717,7.392339,5.953923,3.811772,3.263587,14.534508,18.061764,14.468366,13.781098,10.536388,10.122900,9.951637,10.035540,10.999406,16.392687,14.629961,18.206324,20.230652,16.499317,9.029758,10.250071,11.271409,15.538063,14.547658,17.129841,21.405737,18.861958,17.917358,16.899359,12.941185,11.789193,17.431683,14.184783,17.209364,19.674313,17.372263,16.023361,14.324280,12.080355,14.528578,14.790809,13.086854,15.240827,14.134185,10.879907,8.669156,12.857664,8.308868,12.503434,11.130416,13.204012,14.184689,11.254465,8.306038,5.307240,5.964221,Flat
